"Bot Name:","TravelGenie"
"Report name:","Developer Batch Testing"
"Bot Language:","en"
"Run Type:","inDevelopment"
"Notes:",""
"Threshold Setting","Mode","minThreshold","maxThreshold","exactMatchThreshold","isActive","taskMatchTolerance","wordCoverage","suggestionsCount","pathCoverage"
"","ml","0.6","80","90","true","","","",""
"","faq","60","80","95","true","5","","3","50"
"","cs","60","80","","true","2","60","",""
"","rr","","","","true","2","","",""
"","extnlu","","","","true","","","",""
"Last tested date and time:","03-15-2025 10:21:40 AM"
"Utterance count:","171"
"Percentage breakdown:","82.46% True Positive","0.00% True Negative","1.75% False Positive","15.79% False Negative"
"Success / Failure Ratio:","82.46"
"F1 Score:","0.90"
"Precision:","0.98"
"Recall:","0.84"
"Total Entities Count:","0"
"Matched Entities Count:","0"
"Entities Success / Failure Ration:","0.00"
"Utterance","ExpectedIntent","MatchedIntent","Parent Intent","TaskState","ResultType","Entity Name","Expected EntityValue","Matched EntityValue","Entity Result","Expected Entity Order","Actual Entity Order","EntityIdentifiedBy","entityIdentifiedUsing","entityNERConfidenceScore","Matched Intent's Score","Expected Intent's Score"
"I need to check my booking status for the flight to Sydney.","Get Booking Details","get booking details","None","configured","TP","","","","","","PhoneNumber","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"Do you have the booking details for my trip to Dubai?","Get Booking Details","get booking details","None","configured","TP","","","","","","PhoneNumber","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"Can you tell me the details of my flight from Chicago to Miami on Wednesday?","Get Booking Details","get booking details","None","configured","TP","","","","","","PhoneNumber","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"I would like to fly from Singapore to Kuala Lumpur next Thursday.","InteractionIntents","interactionintents","None","configured","TP","","","","","","","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"Please show me the booking information for my flight from Madrid to Los Angeles.","Get Booking Details","get booking details","None","configured","TP","","","","","","PhoneNumber","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"Can you book a flight for me from Moscow to Athens?","InteractionIntents","interactionintents","None","configured","TP","","","","","","","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"Please help me with booking a flight from Delhi to Bangkok.","InteractionIntents","interactionintents","None","configured","TP","","","","","","","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"I want to fly from Berlin to Amsterdam this Saturday.","InteractionIntents","interactionintents","None","configured","TP","","","","","","","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"I want to see the details of my flight from Singapore to Hong Kong for next Monday.","Get Booking Details","get booking details","None","configured","TP","","","","","","PhoneNumber","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"Can you provide me with the details of my booking from New York to Tokyo?","Get Booking Details","get booking details","None","configured","TP","","","","","","PhoneNumber","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"Book a flight from Dubai to Istanbul for tomorrow.","InteractionIntents","interactionintents","None","configured","TP","","","","","","","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"Please arrange a flight from Boston to Miami on Sunday.","InteractionIntents","interactionintents","None","configured","TP","","","","","","","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"Can you arrange a flight from Rome to Madrid for next Friday?","InteractionIntents","interactionintents","None","configured","TP","","","","","","","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
